add8u_0E2: 0.0, 0.0, 0.16, 0.02, 0.0, 0.0, 0.0, 0.17, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0
add8u_0JM: 0.0, 0.0, 0.0, 0.0, 0.0, 0.08, 0.05, 0.0, 0.0, 0.04, 0.0, 0.0, 0.0, 0.0
add8u_00M: 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
add8u_0NH: 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
add8u_0NQ: 0.06, 0.29, 0.15, 0.0, 0.26, 0.0, 0.0, 0.07, 0.13, 0.16, 0.3, 0.0, 0.14, 0.08
add8u_0NS: 0.36, 0.03, 0.17, 0.31, 0.08, 0.26, 0.0, 0.06, 0.34, 0.15, 0.33, 0.04, 0.05, 0.0
add8u_0PA: 0.0, 0.27, 0.08, 0.14, 0.11, 0.06, 0.29, 0.1, 0.15, 0.07, 0.26, 0.0, 0.11, 0.11
add8u_0PL: 0.04, 0.19, 0.09, 0.0, 0.15, 0.06, 0.21, 0.08, 0.07, 0.1, 0.03, 0.05, 0.2, 0.0
add8u_0TP: 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
add8u_1HG: 0.0, 0.54, 0.78, 0.45, 0.62, 0.0, 0.76, 0.77, 0.79, 0.0, 0.56, 0.0, 0.44, 0.57
add8u_02Y: 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
add8u_2AM: 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
add8u_2J3: 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
add8u_2LL: 0.0, 0.0, 0.17, 0.42, 0.19, 0.34, 0.4, 0.18, 0.41, 0.16, 0.16, 0.16, 0.16, 0.16
add8u_3RE: 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.21, 0.2, 0.16, 0.0, 0.23, 0.0, 0.0, 0.0
add8u_4M7: 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
add8u_05G: 0.42, 0.08, 0.27, 0.52, 0.0, 0.36, 0.14, 0.49, 0.44, 0.43, 0.45, 0.37, 0.5, 0.0
add8u_6FT: 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
add8u_6K6: 0.4, 0.07, 0.26, 0.0, 0.16, 0.31, 0.43, 0.23, 0.41, 0.06, 0.24, 0.44, 0.08, 0.0
add8u_6LG: 0.0, 0.25, 0.36, 0.16, 0.08, 0.0, 0.06, 0.23, 0.24, 0.33, 0.37, 0.0, 0.0, 0.32
add8u_6MZ: 0.13, 0.32, 0.05, 0.36, 0.26, 0.17, 0.4, 0.38, 0.3, 0.06, 0.33, 0.31, 0.25, 0.37
add8u_6P8: 0.35, 0.08, 0.44, 0.23, 0.0, 0.16, 0.41, 0.06, 0.47, 0.25, 0.05, 0.34, 0.42, 0.43
add8u_6PT: 0.31, 0.58, 0.0, 0.43, 0.16, 0.5, 0.24, 0.62, 0.42, 0.49, 0.41, 0.59, 0.32, 0.61
add8u_6QU: 0.26, 0.43, 0.12, 0.0, 0.35, 0.16, 0.3, 0.2, 0.29, 0.45, 0.15, 0.41, 0.34, 0.42
add8u_6R6: 0.34, 0.05, 0.17, 0.0, 0.23, 0.3, 0.32, 0.19, 0.16, 0.18, 0.04, 0.35, 0.31, 0.0
add8u_6S4: 0.36, 0.1, 0.48, 0.2, 0.3, 0.26, 0.4, 0.33, 0.11, 0.49, 0.34, 0.47, 0.21, 0.09
add8u_6SM: 0.47, 0.2, 0.0, 0.39, 0.56, 0.32, 0.25, 0.41, 0.54, 0.58, 0.42, 0.38, 0.46, 0.4
add8u_6TH: 0.0, 0.34, 0.0, 0.16, 0.42, 0.25, 0.47, 0.09, 0.44, 0.23, 0.35, 0.06, 0.2, 0.2
add8u_108: 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
add8u_0D0: 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
add8u_0UK: 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
